"","I(X;Y)/H(Y)","I(X;Y)/H(X,Y)","Agreement","NotVotingP"
"MURKOWSKI (R-AK)",0.497598664894792,0.273265644364143,0.855263157894737,0.0427631578947368
"COCHRAN (R-MS)",0.419582376565703,0.239057683547413,0.855263157894737,0.00986842105263158
"CAPITO (R-WV)",0.419130425638844,0.247081733551818,0.868421052631579,0.00657894736842105
"ALEXANDER (R-TN)",0.41438661703442,0.220710476818469,0.835526315789474,0.0328947368421053
"AYOTTE (R-NH)",0.40000077106231,0.246194491337452,0.878289473684211,0.00328947368421053
"MCCAIN (R-AZ)",0.397691117971077,0.216653114623947,0.842105263157895,0.0296052631578947
"CORKER (R-TN)",0.394670224734382,0.204932618186271,0.822368421052632,0.0361842105263158
"GRAHAM (R-SC)",0.379954663910313,0.158065667276924,0.641447368421053,0.286184210526316
"HATCH (R-UT)",0.376092397149784,0.210037860216363,0.845394736842105,0.00986842105263158
"ROUNDS (R-SD)",0.37176078200335,0.213203161101553,0.851973684210526,0.00657894736842105
"KIRK (R-IL)",0.368321820672167,0.185841750906516,0.809210526315789,0.0625
"JOHNSON (R-WI)",0.360464638064774,0.207682754121955,0.851973684210526,0.00657894736842105
"PORTMAN (R-OH)",0.358130096569216,0.204173829508763,0.851973684210526,0.0164473684210526
"FLAKE (R-AZ)",0.358087792663536,0.18047081738718,0.802631578947368,0.0361842105263158
"GARDNER (R-CO)",0.330339183259192,0.175729543832057,0.822368421052632,0.0197368421052632
"THUNE (R-SD)",0.32948322650275,0.182887932883591,0.835526315789474,0.00986842105263158
"COLLINS (R-ME)",0.327897733790534,0.191294202337041,0.848684210526316,0
"BURR (R-NC)",0.316590283173148,0.173451832999668,0.825657894736842,0.00657894736842105
"CORNYN (R-TX)",0.310158896567386,0.172759128460187,0.828947368421053,0.00328947368421053
"TILLIS (R-NC)",0.310015063025369,0.174909834599211,0.828947368421053,0
"HOEVEN (R-ND)",0.305440608516977,0.169189939903801,0.828947368421053,0.00657894736842105
"COATS (R-IN)",0.303485065174123,0.158111699467533,0.802631578947368,0.0131578947368421
"HELLER (R-NV)",0.292931348727467,0.149129205715818,0.802631578947368,0.0296052631578947
"ENZI (R-WY)",0.289137349124391,0.141262479972827,0.789473684210526,0.0427631578947368
"ROBERTS (R-KS)",0.284198527457331,0.150017805165135,0.805921052631579,0.00986842105263158
"WICKER (R-MS)",0.279000974925311,0.145719881106983,0.802631578947368,0.0131578947368421
"ISAKSON (R-GA)",0.277565695070196,0.149565416360703,0.8125,0.00657894736842105
"ERNST (R-IA)",0.261037314512154,0.143316411211595,0.809210526315789,0
"FISCHER (R-NE)",0.258076734124903,0.139420406279785,0.799342105263158,0
"SCOTT (R-SC)",0.256729338862997,0.12788932626296,0.776315789473684,0.0197368421052632
"MCCONNELL (R-KY)",0.254988341847377,0.136531982806693,0.792763157894737,0
"CASSIDY (R-LA)",0.253761595296395,0.129648651173199,0.789473684210526,0.0164473684210526
"BARASSO (R-WY)",0.25068871541465,0.137167897255826,0.805921052631579,0
"BLUNT (R-MO)",0.246217417608855,0.115233996565166,0.746710526315789,0.0427631578947368
"TOOMEY (R-PA)",0.238746001991062,0.108294999623425,0.736842105263158,0.0592105263157895
"MORAN (R-KS)",0.238689724062656,0.111318720286692,0.75,0.0427631578947368
"SULLIVAN (R-AK)",0.231272297569466,0.113267286773937,0.773026315789474,0.0263157894736842
"PERDUE (R-GA)",0.229140912783247,0.119891955679491,0.773026315789474,0
"DAINES (R-MT)",0.222145612643784,0.118899809836637,0.789473684210526,0
"GRASSLEY (R-IA)",0.221257362207501,0.119982744566244,0.796052631578947,0
"BOOZMAN (R-AR)",0.215410894795523,0.109303371250294,0.773026315789474,0.00986842105263158
